date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:43:08	166/166	---MC-	301	error ('Moved%20Permanently')	text/html	date:Tue,%2001%20Jun%202021%2009:43:08%20GMT	http://www.monash.edu/pharm/research/areas/drug-discovery/labs/Receptor-transducer-coupling/alumni	C:/My%20Web%20Sites/Sebastians%20websitev2/www.monash.edu/pharm/research/areas/drug-discovery/labs/Receptor-transducer-coupling/alumni.0.delayed	(from )
19:43:09	23251/23251	---MCZ	200	added ('OK')	text/html	date:Tue,%2001%20Jun%202021%2009:37:23%20GMT	https://www.monash.edu/pharm/research/areas/drug-discovery/labs/Receptor-transducer-coupling/alumni	C:/My%20Web%20Sites/Sebastians%20websitev2/www.monash.edu/pharm/research/areas/drug-discovery/labs/Receptor-transducer-coupling/alumni.html	(from )
19:43:09	2667/2667	---MCZ	200	added ('OK')	text/plain	date:Tue,%2001%20Jun%202021%2009:13:13%20GMT	https://www.monash.edu/robots.txt		(from )
19:43:09	12854/12854	---MC-	200	added ('OK')	image/png	etag:%225eec17fb-3236%22	https://www.monash.edu/__data/assets/git_bridge/0006/509343/deploy/mysource_files/favicon-152.png	C:/My%20Web%20Sites/Sebastians%20websitev2/www.monash.edu/__data/assets/git_bridge/0006/509343/deploy/mysource_files/favicon-152.png	(from https://www.monash.edu/pharm/research/areas/drug-discovery/labs/Receptor-transducer-coupling/alumni)
19:43:09	15620/15620	---MC-	200	added ('OK')	image/png	etag:%225eec17fb-3d04%22	https://www.monash.edu/__data/assets/git_bridge/0006/509343/deploy/mysource_files/favicon-144.png	C:/My%20Web%20Sites/Sebastians%20websitev2/www.monash.edu/__data/assets/git_bridge/0006/509343/deploy/mysource_files/favicon-144.png	(from https://www.monash.edu/pharm/research/areas/drug-discovery/labs/Receptor-transducer-coupling/alumni)
19:43:09	12201/12201	---MC-	200	added ('OK')	image/png	etag:%225eec17fb-2fa9%22	https://www.monash.edu/__data/assets/git_bridge/0006/509343/deploy/mysource_files/favicon-120.png	C:/My%20Web%20Sites/Sebastians%20websitev2/www.monash.edu/__data/assets/git_bridge/0006/509343/deploy/mysource_files/favicon-120.png	(from https://www.monash.edu/pharm/research/areas/drug-discovery/labs/Receptor-transducer-coupling/alumni)
19:43:10	11329/11329	---MC-	200	added ('OK')	image/png	etag:%225eec17fb-2c41%22	https://www.monash.edu/__data/assets/git_bridge/0006/509343/deploy/mysource_files/favicon-114.png	C:/My%20Web%20Sites/Sebastians%20websitev2/www.monash.edu/__data/assets/git_bridge/0006/509343/deploy/mysource_files/favicon-114.png	(from https://www.monash.edu/pharm/research/areas/drug-discovery/labs/Receptor-transducer-coupling/alumni)
19:43:10	6454/6454	---MC-	200	added ('OK')	image/png	etag:%225eec17fb-1936%22	https://www.monash.edu/__data/assets/git_bridge/0006/509343/deploy/mysource_files/favicon-72.png	C:/My%20Web%20Sites/Sebastians%20websitev2/www.monash.edu/__data/assets/git_bridge/0006/509343/deploy/mysource_files/favicon-72.png	(from https://www.monash.edu/pharm/research/areas/drug-discovery/labs/Receptor-transducer-coupling/alumni)
19:43:10	4853/4853	---MC-	200	added ('OK')	image/png	etag:%225eec17fb-12f5%22	https://www.monash.edu/__data/assets/git_bridge/0006/509343/deploy/mysource_files/favicon-57.png	C:/My%20Web%20Sites/Sebastians%20websitev2/www.monash.edu/__data/assets/git_bridge/0006/509343/deploy/mysource_files/favicon-57.png	(from https://www.monash.edu/pharm/research/areas/drug-discovery/labs/Receptor-transducer-coupling/alumni)
19:43:10	37414/37414	---M-Z	200	added ('OK')	text/css	etag:%225eb03e5f-9226%22	https://cdnjs.cloudflare.com/ajax/libs/font-awesome/4.7.0/css/font-awesome.css	C:/My%20Web%20Sites/Sebastians%20websitev2/cdnjs.cloudflare.com/ajax/libs/font-awesome/4.7.0/css/font-awesome.css	(from https://www.monash.edu/pharm/research/areas/drug-discovery/labs/Receptor-transducer-coupling/alumni)
19:43:11	210314/210314	---MCZ	200	added ('OK')	text/css	etag:W/%225c5124ca-3358a%22	https://www.monash.edu/__data/assets/git_bridge/0011/789905/bitbucket/minified/stylesheets/public.min.css	C:/My%20Web%20Sites/Sebastians%20websitev2/www.monash.edu/__data/assets/git_bridge/0011/789905/bitbucket/minified/stylesheets/public.min.css	(from https://www.monash.edu/pharm/research/areas/drug-discovery/labs/Receptor-transducer-coupling/alumni)
19:43:12	1555/1555	---M--	400	error ('Bad%20Request')	text/html	date:Tue,%2001%20Jun%202021%2009:43:11%20GMT	http://www.googletagmanager.com/gtm.js?id=	C:/My%20Web%20Sites/Sebastians%20websitev2/www.googletagmanager.com/gtm.b5445.delayed	(from https://www.monash.edu/pharm/research/areas/drug-discovery/labs/Receptor-transducer-coupling/alumni)
19:43:12	1064/1064	---MCZ	200	added ('OK')	text/css	etag:W/%225fb6f237-428%22	https://www.monash.edu/__data/assets/css_file/0010/1382914/utilities.css?v=WEBUW-1499-nocache	C:/My%20Web%20Sites/Sebastians%20websitev2/www.monash.edu/__data/assets/css_file/0010/1382914/utilitiesaf43.css	(from https://www.monash.edu/pharm/research/areas/drug-discovery/labs/Receptor-transducer-coupling/alumni)
19:43:12	23974/23974	---MCZ	200	added ('OK')	text/html	date:Tue,%2001%20Jun%202021%2009:37:19%20GMT	https://www.monash.edu/pharm/research/areas/drug-discovery/labs/Receptor-transducer-coupling/home	C:/My%20Web%20Sites/Sebastians%20websitev2/www.monash.edu/pharm/research/areas/drug-discovery/labs/Receptor-transducer-coupling/home.html	(from https://www.monash.edu/pharm/research/areas/drug-discovery/labs/Receptor-transducer-coupling/alumni)
19:43:12	25361/25361	---MCZ	200	added ('OK')	text/html	date:Tue,%2001%20Jun%202021%2009:37:21%20GMT	https://www.monash.edu/pharm/research/areas/drug-discovery/labs/Receptor-transducer-coupling/research	C:/My%20Web%20Sites/Sebastians%20websitev2/www.monash.edu/pharm/research/areas/drug-discovery/labs/Receptor-transducer-coupling/research.html	(from https://www.monash.edu/pharm/research/areas/drug-discovery/labs/Receptor-transducer-coupling/alumni)
19:43:12	23891/23891	---MCZ	200	added ('OK')	text/html	date:Tue,%2001%20Jun%202021%2009:37:22%20GMT	https://www.monash.edu/pharm/research/areas/drug-discovery/labs/Receptor-transducer-coupling/sebastian	C:/My%20Web%20Sites/Sebastians%20websitev2/www.monash.edu/pharm/research/areas/drug-discovery/labs/Receptor-transducer-coupling/sebastian.html	(from https://www.monash.edu/pharm/research/areas/drug-discovery/labs/Receptor-transducer-coupling/alumni)
19:43:13	26258/26258	---MCZ	200	added ('OK')	text/html	date:Tue,%2001%20Jun%202021%2009:37:22%20GMT	https://www.monash.edu/pharm/research/areas/drug-discovery/labs/Receptor-transducer-coupling/team	C:/My%20Web%20Sites/Sebastians%20websitev2/www.monash.edu/pharm/research/areas/drug-discovery/labs/Receptor-transducer-coupling/team.html	(from https://www.monash.edu/pharm/research/areas/drug-discovery/labs/Receptor-transducer-coupling/alumni)
19:43:13	40606/40606	---MCZ	200	added ('OK')	text/html	date:Tue,%2001%20Jun%202021%2009:37:23%20GMT	https://www.monash.edu/pharm/research/areas/drug-discovery/labs/Receptor-transducer-coupling/publications	C:/My%20Web%20Sites/Sebastians%20websitev2/www.monash.edu/pharm/research/areas/drug-discovery/labs/Receptor-transducer-coupling/publications.html	(from https://www.monash.edu/pharm/research/areas/drug-discovery/labs/Receptor-transducer-coupling/alumni)
19:43:13	0/0	---MC-	302	error ('Moved%20Temporarily')	text/html	date:Tue,%2001%20Jun%202021%2009:37:28%20GMT	https://www.monash.edu/pharm/research/areas/drug-discovery/labs/Receptor-transducer-coupling/Post-graduate-study	C:/My%20Web%20Sites/Sebastians%20websitev2/www.monash.edu/pharm/research/areas/drug-discovery/labs/Receptor-transducer-coupling/Post-graduate-study	(from https://www.monash.edu/pharm/research/areas/drug-discovery/labs/Receptor-transducer-coupling/alumni)
19:43:13	0/0	---MC-	302	error ('Moved%20Temporarily')	text/html	date:Tue,%2001%20Jun%202021%2009:37:29%20GMT	https://www.monash.edu/pharm/research/areas/drug-discovery/labs/Receptor-transducer-coupling/email	C:/My%20Web%20Sites/Sebastians%20websitev2/www.monash.edu/pharm/research/areas/drug-discovery/labs/Receptor-transducer-coupling/email	(from https://www.monash.edu/pharm/research/areas/drug-discovery/labs/Receptor-transducer-coupling/alumni)
